PERIODO;GRUPO_ARANCELARIO;RCA>1;RCA<1
2002;S1;123;40
2002;S10;0;2
2002;S11;74;62
2002;S12;0;1
2002;S14;0;1
2002;S15;0;4
2002;S16;3;4
2002;S18;1;1
2002;S2;1;6
2002;S4;6;5
2002;S5;5;0
2002;S7;1;2
2002;S8;3;12
2002;S9;9;5
2003;S1;76;31
2003;S10;0;1
2003;S11;32;29
2003;S12;0;1
2003;S15;0;1
2003;S16;2;1
2003;S18;0;2
2003;S2;3;7
2003;S20;1;2
2003;S4;2;13
2003;S5;3;0
2003;S7;0;1
2003;S8;2;3
2003;S9;7;1
2004;S1;73;20
2004;S10;0;2
2004;S11;2;0
2004;S12;3;0
2004;S13;0;1
2004;S15;1;1
2004;S16;0;2
2004;S2;4;5
2004;S20;1;5
2004;S3;0;1
2004;S4;1;7
2004;S5;3;0
2004;S8;1;0
2004;S9;10;2
2005;S1;85;20
2005;S11;2;0
2005;S15;0;6
2005;S16;6;12
2005;S17;1;0
2005;S2;3;5
2005;S20;1;6
2005;S4;2;8
2005;S5;4;0
2005;S8;1;0
2005;S9;7;2
2006;S1;62;33
2006;S11;3;3
2006;S16;1;0
2006;S2;4;1
2006;S20;1;3
2006;S4;3;9
2006;S5;4;0
2006;S8;2;0
2006;S9;4;1
2007;S1;67;21
2007;S10;0;1
2007;S11;2;0
2007;S14;1;1
2007;S15;0;3
2007;S16;0;7
2007;S2;3;6
2007;S20;1;5
2007;S4;4;9
2007;S5;3;0
2007;S8;2;1
2007;S9;3;1
2008;S1;59;18
2008;S11;2;0
2008;S14;1;1
2008;S15;0;3
2008;S16;0;1
2008;S2;3;6
2008;S20;1;5
2008;S4;3;2
2008;S5;4;0
2008;S6;0;2
2008;S7;1;0
2008;S8;1;0
2008;S9;3;1
2009;S1;56;23
2009;S10;0;1
2009;S11;1;2
2009;S14;0;1
2009;S15;0;1
2009;S16;2;0
2009;S17;0;1
2009;S2;0;13
2009;S20;4;2
2009;S3;0;1
2009;S4;3;16
2009;S5;2;1
2009;S6;2;0
2009;S8;1;0
2009;S9;1;1
2010;S1;86;16
2010;S11;3;0
2010;S14;0;2
2010;S15;2;1
2010;S16;2;1
2010;S17;2;2
2010;S2;5;7
2010;S20;2;1
2010;S4;2;3
2010;S5;5;0
2010;S6;1;2
2010;S8;1;0
2010;S9;3;0
2011;S1;102;17
2011;S11;6;1
2011;S14;0;2
2011;S15;0;4
2011;S16;0;1
2011;S19;1;0
2011;S2;4;6
2011;S4;6;3
2011;S5;7;0
2011;S6;0;2
2011;S7;2;3
2011;S8;1;0
2012;S1;93;15
2012;S11;2;0
2012;S14;0;2
2012;S16;2;0
2012;S17;1;0
2012;S2;2;3
2012;S20;3;2
2012;S4;6;8
2012;S5;7;0
2012;S6;0;1
2012;S9;0;1
2013;S1;53;10
2013;S11;3;1
2013;S14;0;1
2013;S15;0;4
2013;S16;0;3
2013;S17;1;0
2013;S2;3;5
2013;S4;6;5
2013;S5;4;0
2013;S6;1;1
2013;S7;3;0
2013;S9;0;1
2014;S1;47;12
2014;S11;1;1
2014;S14;0;1
2014;S16;0;2
2014;S17;3;0
2014;S2;5;3
2014;S3;0;1
2014;S4;3;1
2014;S5;5;0
2014;S6;1;0
2014;S7;1;0
2014;S8;0;1
2015;S1;31;16
2015;S11;2;0
2015;S15;0;1
2015;S16;0;4
2015;S2;1;6
2015;S3;0;1
2015;S4;3;4
2015;S5;5;0
2015;S6;1;2
2015;S7;0;1
2016;S1;40;25
2016;S11;0;1
2016;S15;0;2
2016;S16;1;1
2016;S2;5;6
2016;S4;5;9
2016;S5;4;0
2016;S6;2;1
2016;S9;0;1
2017;S1;36;18
2017;S10;0;1
2017;S11;1;0
2017;S15;1;0
2017;S16;1;4
2017;S2;3;4
2017;S20;1;0
2017;S4;6;10
2017;S5;4;0
2017;S6;1;0
2018;S1;34;16
2018;S11;1;0
2018;S16;0;1
2018;S17;1;0
2018;S2;5;7
2018;S20;1;0
2018;S4;5;7
2018;S5;3;0
2018;S6;0;1
2018;S7;1;1
2019;S1;42;16
2019;S11;0;1
2019;S2;2;10
2019;S20;1;0
2019;S3;0;1
2019;S4;3;3
2019;S5;1;2
2019;S7;1;0
2019;S8;0;1
2020;S1;43;14
2020;S10;0;1
2020;S15;0;2
2020;S16;0;5
2020;S2;2;8
2020;S4;1;3
2020;S5;2;0
2020;S6;0;1
2020;S7;2;0
2021;S1;38;15
2021;S11;1;0
2021;S16;0;1
2021;S2;2;5
2021;S4;5;8
2021;S5;1;1
2021;S6;0;1
2021;S7;1;0
2022;S1;31;9
2022;S11;1;0
2022;S15;1;0
2022;S18;0;1
2022;S2;2;10
2022;S20;0;1
2022;S4;16;21
2022;S5;1;0
2022;S6;0;1
2022;S7;1;1
