Secciones;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
S1;163;107;93;105;95;88;77;79;102;119;108;63;59;47;65;54;50;58;57;53;40;0
S2;7;10;9;8;5;9;9;13;12;10;5;8;8;7;11;7;12;12;10;7;12;0
S3;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0
S4;11;15;8;10;12;13;5;19;5;9;14;11;4;7;14;16;12;6;4;13;37;0
S5;5;3;3;4;4;3;4;3;5;7;7;4;5;5;4;4;3;3;2;2;1;0
S6;0;0;0;0;0;0;2;2;3;2;1;2;1;3;3;1;1;0;1;1;1;0
S7;3;1;0;0;0;0;1;0;0;5;0;3;1;1;0;0;2;1;2;1;2;0
S8;15;5;1;1;2;3;1;1;1;1;0;0;1;0;0;0;0;1;0;0;0;0
S9;14;8;12;9;5;4;4;2;3;0;1;1;0;0;1;0;0;0;0;0;0;0
S10;2;1;2;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0
S11;136;61;2;2;6;2;2;3;3;7;2;4;2;2;1;1;1;1;0;1;1;0
S12;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S13;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S14;1;0;0;0;0;2;2;1;2;2;2;1;1;0;0;0;0;0;0;0;0;0
S15;4;1;2;6;0;3;3;1;3;4;0;4;0;1;2;1;0;0;2;0;1;0
S16;7;3;2;18;1;7;1;2;3;1;2;3;2;4;2;5;1;0;5;1;0;0
S17;0;0;0;1;0;0;0;1;4;0;1;1;3;0;0;0;1;0;0;0;0;0
S18;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
S19;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
S20;0;3;6;7;4;6;6;6;3;0;5;0;0;0;0;1;1;1;0;0;1;0
S21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
